,Country_Region,Date,Cases,Cases_per_Million,case_delta_days,case_percentage_x_days_increase
12,Germany,1/3/21,1783896,21458.38972653862,225845,0.14381633384722464
13,Germany,1/4/21,1796216,21606.586348668472,225845,0.14381633384722464
0,Ghana,12/22/20,53954,1773.7607805099742,1214,0.022500648700745078
1,Ghana,12/23/20,54043,1776.6866935000285,1214,0.022500648700745078
2,Ghana,12/24/20,54043,1776.6866935000285,1214,0.022500648700745078
3,Ghana,12/25/20,54043,1776.6866935000285,1214,0.022500648700745078
4,Ghana,12/26/20,54286,1784.675422225682,1214,0.022500648700745078
5,Ghana,12/27/20,54401,1788.4560963139545,1214,0.022500648700745078
6,Ghana,12/28/20,54503,1791.8093898531179,1214,0.022500648700745078
7,Ghana,12/29/20,54681,1797.6612158332264,1214,0.022500648700745078
8,Ghana,12/30/20,54771,1800.6200042501353,1214,0.022500648700745078
9,Ghana,12/31/20,54771,1800.6200042501353,1214,0.022500648700745078
10,Ghana,1/1/21,54930,1805.8471971200074,1214,0.022500648700745078
11,Ghana,1/2/21,55064,1810.252504318516,1214,0.022500648700745078
12,Ghana,1/3/21,55168,1813.6715487113884,1214,0.022500648700745078
13,Ghana,1/4/21,55168,1813.6715487113884,1214,0.022500648700745078
0,Greece,12/22/20,132430,12357.784695159402,8096,0.06113418409725893
1,Greece,12/23/20,133365,12445.034779656677,8096,0.06113418409725893
2,Greece,12/24/20,134235,12526.21935025842,8096,0.06113418409725893
3,Greece,12/25/20,134852,12583.795074466781,8096,0.06113418409725893
4,Greece,12/26/20,135114,12608.243761245696,8096,0.06113418409725893
5,Greece,12/27/20,135456,12640.157695896036,8096,0.06113418409725893
6,Greece,12/28/20,135931,12684.48260513262,8096,0.06113418409725893
7,Greece,12/29/20,136976,12781.997405453103,8096,0.06113418409725893
8,Greece,12/30/20,137918,12869.900699139127,8096,0.06113418409725893
9,Greece,12/31/20,138850,12956.870836841223,8096,0.06113418409725893
10,Greece,1/1/21,139447,13012.580249081728,8096,0.06113418409725893
11,Greece,1/2/21,139709,13037.028935860644,8096,0.06113418409725893
12,Greece,1/3/21,140099,13073.422019233838,8096,0.06113418409725893
13,Greece,1/4/21,140526,13113.267779747566,8096,0.06113418409725893
0,Grenada,12/22/20,103,919.6182245118434,24,0.23300970873786409
1,Grenada,12/23/20,105,937.4748890654714,24,0.23300970873786409
2,Grenada,12/24/20,105,937.4748890654714,24,0.23300970873786409
3,Grenada,12/25/20,112,999.9732150031695,24,0.23300970873786409
4,Grenada,12/26/20,112,999.9732150031695,24,0.23300970873786409
5,Grenada,12/27/20,112,999.9732150031695,24,0.23300970873786409
6,Grenada,12/28/20,124,1107.1132023249377,24,0.23300970873786409
7,Grenada,12/29/20,127,1133.8981991553796,24,0.23300970873786409
8,Grenada,12/30/20,127,1133.8981991553796,24,0.23300970873786409
9,Grenada,12/31/20,127,1133.8981991553796,24,0.23300970873786409
10,Grenada,1/1/21,127,1133.8981991553796,24,0.23300970873786409
11,Grenada,1/2/21,127,1133.8981991553796,24,0.23300970873786409
12,Grenada,1/3/21,127,1133.8981991553796,24,0.23300970873786409
13,Grenada,1/4/21,127,1133.8981991553796,24,0.23300970873786409
0,Guatemala,12/22/20,133601,8046.301541565882,5055,0.037836543139647155
1,Guatemala,12/23/20,134256,8085.749805498979,5055,0.037836543139647155
2,Guatemala,12/24/20,134894,8124.174221360529,5055,0.037836543139647155
3,Guatemala,12/25/20,135080,8135.376323790386,5055,0.037836543139647155
4,Guatemala,12/26/20,135171,8140.856922291015,5055,0.037836543139647155
5,Guatemala,12/27/20,135309,8149.168159577683,5055,0.037836543139647155
6,Guatemala,12/28/20,135441,8157.118038721452,5055,0.037836543139647155
7,Guatemala,12/29/20,136287,8208.069536870154,5055,0.037836543139647155
8,Guatemala,12/30/20,137166,8261.008504804799,5055,0.037836543139647155
9,Guatemala,12/31/20,138012,8311.9600029535,5055,0.037836543139647155
10,Guatemala,1/1/21,138236,8325.450706955047,5055,0.037836543139647155
11,Guatemala,1/2/21,138316,8330.268815527028,5055,0.037836543139647155
12,Guatemala,1/3/21,138475,8339.844806313842,5055,0.037836543139647155
13,Guatemala,1/4/21,138656,8350.745776957949,5055,0.037836543139647155
0,Guinea,12/22/20,13578,1063.1695607460697,221,0.01627632935631168
1,Guinea,12/23/20,13598,1064.7355786584958,221,0.01627632935631168
2,Guinea,12/24/20,13630,1067.2412073183775,221,0.01627632935631168
3,Guinea,12/25/20,13646,1068.4940216483185,221,0.01627632935631168
4,Guinea,12/26/20,13646,1068.4940216483185,221,0.01627632935631168
5,Guinea,12/27/20,13674,1070.6864467257149,221,0.01627632935631168
6,Guinea,12/28/20,13688,1071.7826592644133,221,0.01627632935631168
7,Guinea,12/29/20,13688,1071.7826592644133,221,0.01627632935631168
8,Guinea,12/30/20,13707,1073.270376281218,221,0.01627632935631168
