,Country_Region,Confirmed,Deaths,Recovered,Active,First_Confirmed_Case,Population,MostRecentYearHospBedInfoCollected,hosp_beds_per_1000_people,Continent,Fatality_Rate,cases_per_mil_people,deaths_per_mil_people,Recovery_Rate
122,Morocco,7023,193,3901,2929,3/2/20,36029138.0,2014,1.1,Africa,0.027481133418766908,194.92556274868411,5.356775396624809,0.5554606293606721
123,Mozambique,146,0,44,102,3/22/20,29495962.0,2011,0.7,Africa,0.0,4.949830081826116,0.0,0.3013698630136986
124,Namibia,16,0,13,3,3/14/20,2448255.0,2009,2.7,Africa,0.0,6.535266955443775,0.0,0.8125
125,Nepal,402,2,37,363,1/25/20,28087871.0,2012,0.3,Asia,0.004975124378109453,14.312227509162229,0.07120511198588174,0.09203980099502487
126,New Zealand,1503,21,1447,35,2/28/20,4841000.0,2013,2.8,Oceania,0.013972055888223553,310.47304275976035,4.337946705226193,0.9627411842980705
127,Nicaragua,254,17,199,38,3/19/20,6465513.0,2014,0.9,North America,0.06692913385826772,39.28535910452891,2.6293350581771318,0.7834645669291339
128,Niger,914,55,734,125,3/20/20,22442948.0,2015,0.3,Africa,0.060175054704595186,40.725487578548055,2.450658442910441,0.8030634573304157
129,Nigeria,6401,192,1734,4475,2/28/20,195874740.0,2004,0.5,Africa,0.029995313232307454,32.679047844556166,0.980218276231024,0.27089517262927665
130,North Macedonia,1839,106,1351,382,2/26/20,2082958.0,2013,4.4,Europe,0.057640021750951606,882.8790594913579,50.88916819254157,0.7346383904295813
131,Norway,8267,233,32,8002,2/26/20,5311916.0,2013,3.9,Europe,0.028184347405346557,1556.312260961958,43.8636454341522,0.0038708116608201283
132,Oman,5671,27,1574,4070,2/24/20,4829483.0,2014,1.6,Asia,0.004761065067889261,1174.2457733053413,5.5906605324006735,0.27755245988361843
133,Pakistan,43966,939,12489,30538,2/26/20,212215030.0,2014,0.6,Asia,0.02135741254605832,207.17665473552933,4.424757285098987,0.2840604103170632
134,Panama,9867,281,6194,3392,3/10/20,4176873.0,2013,2.3,North America,0.028478767609202392,2362.293514789653,67.27520803242044,0.6277490625316712
135,Papua New Guinea,8,0,8,0,3/20/20,8606316.0,1990,4.0241999626,Oceania,0.0,0.9295498794141419,0.0,1.0
136,Paraguay,829,11,230,588,3/8/20,6956071.0,2011,1.3,South America,0.013268998793727383,119.17647189052556,1.581352461756069,0.27744270205066346
137,Peru,99483,2914,36524,60045,3/6/20,31989256.0,2014,1.6,South America,0.029291436727883157,3109.8878948606994,91.09308450312191,0.36713810399766794
138,Philippines,12942,837,2843,9262,1/30/20,106651922.0,2011,1.0,Asia,0.06467315716272601,121.34802408905486,7.847959833297707,0.2196723844846237
139,Poland,19268,948,7903,10417,3/4/20,37974750.0,2013,6.5,Europe,0.04920074735312435,507.3897787345539,24.96395631307645,0.4101619265102761
140,Portugal,29432,1247,6431,21754,3/2/20,10283822.0,2013,3.4,Europe,0.04236885023104105,2861.97096760329,121.2584192919714,0.21850366947540092
141,Qatar,35606,15,5634,29957,2/29/20,2781677.0,2014,1.2,Asia,0.00042127731281244734,12800.192114325278,5.392430537406032,0.15823175869235523
142,Romania,17191,1137,10166,5888,2/26/20,19466145.0,2013,6.3,Europe,0.0661392589145483,883.1229809497463,58.40909949042299,0.5913559420627073
143,Russia,299941,2837,76130,220974,1/31/20,144478050.0,2013,8.2,Asia,0.009458526843612577,2076.031618643801,19.63620079313086,0.2538165839281725
144,Rwanda,308,0,209,99,3/14/20,12301939.0,2007,1.6,Africa,0.0,25.03670356356018,0.0,0.6785714285714286
145,Saint Kitts and Nevis,15,0,15,0,3/25/20,52441.0,2012,2.3,North America,0.0,286.0357353978757,0.0,1.0
146,Saint Lucia,18,0,18,0,3/14/20,181889.0,2013,1.3,North America,0.0,98.961454513467,0.0,1.0
147,Saint Vincent and the Grenadines,17,0,14,3,3/14/20,110210.0,2014,2.6,North America,0.0,154.2509754105798,0.0,0.8235294117647058
148,San Marino,655,41,211,403,2/27/20,33785.0,2012,3.8,Europe,0.06259541984732825,19387.30205712594,1213.556311972769,0.32213740458015266
149,Sao Tome and Principe,251,8,4,239,4/6/20,211028.0,2011,2.9,Africa,0.03187250996015936,1189.4156225714123,37.90966127717649,0.01593625498007968
150,Saudi Arabia,59854,329,31634,27891,3/2/20,33699947.0,2014,2.7,Asia,0.005496708657733819,1776.0858793042019,9.762626629650189,0.528519397199853
151,Senegal,2617,30,1133,1454,3/2/20,15854360.0,2008,0.3,Africa,0.01146350783339702,165.0650042007372,1.892223968674863,0.4329384791746274
152,Serbia,10733,234,4904,5595,3/6/20,6982604.0,2012,5.7,Europe,0.02180191931426442,1537.1056413910912,33.51185317110923,0.45690859964595176
153,Seychelles,11,0,11,0,3/14/20,96762.0,2011,3.6,Africa,0.0,113.68099047146607,0.0,1.0
154,Sierra Leone,534,33,167,334,3/31/20,7650154.0,2006,0.4,Africa,0.06179775280898876,69.80251639378763,4.313638653548674,0.31273408239700373
155,Singapore,28794,22,10365,18407,1/23/20,5638676.0,2015,2.4,Asia,0.0007640480655692158,5106.517913070373,3.9016251332759673,0.35997082725567825
156,Slovakia,1495,28,1192,275,3/6/20,5446771.0,2015,5.8,Europe,0.018729096989966554,274.47454647900565,5.140660402282379,0.797324414715719
157,Slovenia,1467,104,1338,25,3/5/20,2073894.0,2013,4.6,Europe,0.070892978868439,707.3649858671657,50.14721099535463,0.9120654396728016
158,Somalia,1502,59,178,1265,3/16/20,15008154.0,2014,0.9,Africa,0.039280958721704395,100.07893042675336,3.9311963350056245,0.118508655126498
159,South Africa,17200,312,7960,8928,3/5/20,57779622.0,2005,2.8,Africa,0.01813953488372093,297.68280588613055,5.399827641655391,0.4627906976744186
161,Sri Lanka,1027,9,569,449,1/27/20,21670000.0,2012,3.6,Asia,0.008763388510223954,47.39270881402861,0.4153207198892478,0.5540408958130477
162,Sudan,2728,111,286,2331,3/13/20,41801533.0,2013,0.8,Africa,0.0406891495601173,65.26076447961849,2.6554050063187873,0.10483870967741936
163,Suriname,11,1,9,1,3/14/20,575991.0,2010,3.1,South America,0.09090909090909091,19.097520620981925,1.736138238271084,0.8181818181818182
164,Sweden,30799,3743,4971,22085,1/31/20,10175214.0,2013,2.6,Europe,0.121529919802591,3026.8650860807447,367.8546711646556,0.16140134419948698
165,Switzerland,30618,1891,27700,1027,2/25/20,8513227.0,2013,4.7,Europe,0.06176105558821608,3596.5210372048105,222.12493570299486,0.9046965837089294
166,Syria,58,3,36,19,3/22/20,16906283.0,2014,1.5,Asia,0.05172413793103448,3.4306772221901176,0.17744882183741986,0.6206896551724138
168,Tajikistan,1936,41,641,1254,4/30/20,9100837.0,2013,4.8,Asia,0.021177685950413222,212.72768647543077,4.505080137134639,0.33109504132231404
169,Tanzania,509,21,183,305,3/16/20,56318348.0,2010,0.7,Africa,0.0412573673870334,9.037907148838954,0.37288025564954425,0.35952848722986247
170,Thailand,3033,56,2857,120,1/22/20,69428524.0,2010,2.1,Asia,0.018463567424991757,43.685215027760066,0.8065849131403111,0.9419716452357402
172,Togo,338,12,107,219,3/6/20,7889094.0,2011,0.7,Africa,0.03550295857988166,42.84395647966674,1.5210872122958605,0.3165680473372781
173,Trinidad and Tobago,116,8,107,1,3/14/20,1389858.0,2014,3.0,North America,0.06896551724137931,83.46176371974691,5.755983704810132,0.9224137931034483
174,Tunisia,1044,47,826,171,3/4/20,11565204.0,2015,2.3,Africa,0.045019157088122604,90.27078121579179,4.063914480021277,0.7911877394636015
175,Turkey,151615,4199,112895,34521,3/11/20,82319724.0,2013,2.7,Asia,0.027695148896876957,1841.7821711841505,51.00843146655837,0.7446162978597104
176,Uganda,260,0,63,197,3/21/20,42723139.0,2010,0.5,Africa,0.0,6.0856951545624955,0.0,0.2423076923076923
177,Ukraine,18876,548,5632,12696,3/3/20,44622516.0,2013,8.8,Europe,0.02903157448611994,423.01514329671596,12.28079564137531,0.29836829836829837
178,United Arab Emirates,25063,227,10791,14045,1/29/20,9630959.0,2013,1.2,Asia,0.009057175916689942,2602.336901236938,23.569823108996726,0.43055500139648084
179,Uruguay,738,20,579,139,3/13/20,3449299.0,2014,2.8,South America,0.02710027100271003,213.95651696185226,5.798279592462121,0.7845528455284553
180,Uzbekistan,2855,13,2338,504,3/15/20,32955400.0,2013,4.0,Asia,0.004553415061295972,86.63223629511401,0.3944725295399237,0.8189141856392295
181,Venezuela,749,10,253,486,3/14/20,28870195.0,2014,0.8,South America,0.01335113484646195,25.943711152626438,0.3463779860163743,0.3377837116154873
182,Vietnam,324,0,263,61,1/23/20,95540395.0,2014,2.6,Asia,0.0,3.3912357176249897,0.0,0.8117283950617284
185,Yemen,167,28,5,134,4/10/20,28498687.0,2014,0.7,Asia,0.16766467065868262,5.859919090307564,0.9825014043629449,0.029940119760479042
186,Zambia,772,7,192,573,3/18/20,17351822.0,2010,2.0,Africa,0.009067357512953367,44.49100503681977,0.40341584877945386,0.24870466321243523
187,Zimbabwe,46,4,18,24,3/20/20,14439018.0,2011,1.7,Africa,0.08695652173913043,3.1858122207479758,0.27702714963025876,0.391304347826087
